264;Irwin Winkler
265;Michael Redgrave
266;Joan Bennett
267;Edward G. Robinson
268;Mel Blanc
269;Julie Bennett
270;Greg Ford
271;George Burns
272;Marisa Berenson
273;Ben Kingsley
274;Candice Bergen
275;Mike Nichols
276;Elliott Gould
277;Richard Rush
278;Rafael Albaicín
279;Senta Berger
280;Edvin Adolphson
281;Ingrid Bergman
282;Halvar Björk
283;Charles Boyer
284;George Cukor
285;Cary Grant
286;Stanley Donen
287;Gustaf Edgren
288;Jose Ferrer
289;Victor Fleming
290;Ned Beatty
291;Alan Gibson
292;Anthony Quinn
293;Guy Green
294;Joseph Cotten
295;Olof Widgren
296;Per Lindberg
297;Anatole Litvak
298;Akim Tamiroff
299;Bing Crosby
300;Leo McCarey
301;Gösta Ekman
302;Gustaf Molander
303;Tore Svennberg
304;Håkan Westergren
305;Gustav Molander
306;Georg Rydeberg
307;Mel Ferrer
308;Jean Renoir
309;Alexander Knox
310;Roberto Rossellini
311;George Sanders
312;Mathias Wieman
313;Mario Vitale
314;Gene Saks
315;Bruce Conover
316;Rip Torn
317;Robert Ginty
318;Sandahl Bergman
319;Allan Holzman
320;David A. Prior
321;Marty Feldman
322;Shelley Berman
323;Jim Clark
324;Sandra Bernhard
325;Eddie Murphy
326;F. Murray Abraham
327;Elizabeth Berridge
328;Milos Forman
329;Jennifer Billingsley
330;Joseph Sargent
331;Daniel Day-Lewis
332;Juliette Binoche
333;Philip Kaufman
334;Jacqueline Bisset
335;Burt Lancaster
336;George Seaton
337;Jean-Pierre Aumont
338;Birger Malmsten
339;Anita Björk
340;Oliver Reed
341;Karen Black
342;Dan Curtis
343;Peter Fonda
344;Bob Rafelson
345;Donald Sutherland
346;John Schlesinger
347;Honor Blackman
348;Guy Hamilton
349;Richard Burton
350;Linda Blair
351;John Boorman
352;Stanley Clements
353;Gloria Blondell
354;Edward Bernds
355;Joan Blondell
356;Jason Leigh
357;Cliff Robertson
358;Claire Bloom
359;Ralph Nelson
360;Clint Eastwood
361;Verna Bloom
362;Anne Bobby
363;Clive Barker
364;Sandrine Bonnaire
365;Maurice Pialat
366;Macha Meril
367;Agnes Varda
368;Bill Cosby
369;Elayne Boosler
370;Graham Chapman
371;Connie Booth
372;Terry Gilliam
373;Shirley Booth
374;Joseph Anthony
375;Carole Bouquet
376;Buddy Rogers
377;Clara Bow
378;Lorraine Bracco
379;John McTiernan
380;William Hurt
381;Sonia Braga
382;Hector Babenco
383;Eileen Brennan
384;Diane Brewster
385;Joseph Pevney
386;Michael Paré
387;Lynda Bridges
388;Craig Rumar
389;Anne Brochet
390;Jean-Paul Rappeneau
391;Tadeusz Fijewski
392;Maria Broniewska
393;Aleksander Ford
394;Barrett Hopkins
395;Violet Brown
396;J. Christian Ingvordsen
397;Marlon Brando
398;Yul Brynner
399;Bernhard Wicki
400;Robert Atzorn
401;Christine Buchegger
402;Betty Buckley
403;Roman Polanski
404;Geneviève Bujold
405;Michael Crichton
406;Jeremy Irons
407;Leonard West
408;Stephanie Burd
409;Bruce Lambert
410;Ellen Burstyn
411;William Friedkin
412;Kris Kristofferson
413;Jonathan Bolt
414;Martha Byrne
415;Frederick King Keller
416;James Cagney
417;Corinne Calvet
418;Sampson De Brier
419;Marjorie Cameron
420;Kenneth Anger
421;Larry Fishburne
422;Tisha Campbell
423;Spike Lee
424;John Heard
425;Dyan Cannon
426;Merlin Olsen
427;Katharine Cannon
428;William F. Claxton
429;Robert Bideman
430;Nadia Capone
431;Robert Bergman
432;Sam Elliott
433;Kate Capshaw
434;Robert Day
435;Willard Huyck
436;Dennis Quaid
437;Joseph Ruben
438;Ridley Scott
439;Claudia Cardinale
440;Federico Fellini
441;Wallace Ford
442;Mary Carlisle
443;Christy Cabanne
444;Noah Taylor
445;Loene Carmen
446;John Duigan
447;Jean-Paul Belmondo
448;Leslie Caron
449;René Clément
450;Tom Gries
451;Barbara Carrera
452;Don Taylor
453;Michael Caine
454;Elpidia Carrillo
455;John Mackenzie
456;Peter Lorre
457;Madeleine Carroll
458;Bruce Mahler
459;Judy Carter
460;Tony Kendall
461;Karen Carter
462;Ernst R. von Theumer
463;Joanna Cassidy
464;Zach Galligan
465;Phoebe Cates
466;Joe Dante
467;Amy Heckerling
468;Andrew McCarthy
469;Kim Cattrall
470;Michael Gottlieb
471;Frank Moore
472;Marilyn Chambers
473;Peter Sellers
474;Marge Champion
475;Chris Peterson
476;Agnes Chan
477;Peter Lawford
478;Carol Channing
479;Marguerite Chapman
480;William A. Seiter
481;Cyd Charisse
482;Nicholas Ray
483;Kyle MacLachlan
484;Joan Chen
485;Nicholas Cage
486;Cher
487;Norman Jewison
488;George Miller
489;Lois Chiles
490;Guy Davis
491;Rae Dawn Chong
492;Stan Lathan
493;Mick Jagger
494;Andrew Lauer
495;Claudia Christian
496;Adam Rifkin
497;Warren Beatty
498;Julie Christie
499;Hal Ashby
500;Laurence Harvey
501;Sandra Church
502;George Englund
503;Will Rogers
504;Marguerite Churchill
505;Sam Taylor
506;Raoul Walsh
507;Diane Cilento
508;Martin Ritt
509;Susan Clark
510;Don Siegel
511;Jillette Penn
512;Caitlin Clarke
513;Arthur Penn
514;John Philbin
515;Jill Clayburgh
516;Claudia Weill
517;John Malkovich
518;Glenn Close
519;Barbet Schroeder
520;Niels Arestrup
521;István Szabó
522;Orson Welles
523;Claudette Colbert
524;Kirk Cameron
525;Margaret Colin
526;Rod Daniel
527;James Stewart
528;Constance Collier
529;Bob Hope
530;Joan Collins
531;Norman Panama
532;Tom Conti
533;Pauline Collins
534;Patrick Swayze
535;Roland Joffe
536;Anjanette Comer
537;Sidney J. Furie
538;Byron Thames
539;Jennifer Connelly
540;Linda Feferman
541;Sam Bottoms
542;Eleanor Coppola
543;Fax Bahr
544;Karla Lee
545;Laura Cornell
546;Charlotte Cornwell
547;Hardy Kruger
548;Nicole Courcel
549;Paul LeMat
550;Barbara Crampton
551;David Schmoeller
552;Roddy McDowall
553;Joan Crawford
554;Fred Gwynne
555;Denise Crosby
556;Wentley Phipps
557;Sandra Crouch
558;Kip Walton
559;Lindsay Crouse
560;Daniel H. Jenkins
561;Jane Curtin
562;Jamie Lee Curtis
563;Charles Crichton
564;Eva Dahlbeck
565;Jean-Hughes Anglade
566;Béatrice Dalle
567;Jean-Jacques Beineix
568;Beverly D'Angelo
569;Chevy Chase
570;Jeremiah S
571;Yuri Solomin
572;Svetlana Danilchenko
573;Akira Kurosawa
574;Blythe Danner
575;Woody Allen
576;Bo Hopkins
577;Patti D'Arbanville
578;Howard Hikmet Avedis
579;Terence Knox
580;Thomas J. Wright
581;William Shatner
582;Kim Darby
583;Henry Hathaway
584;Donald Crisp
585;Jane Darwell
586;Bette Davis
587;Robert Aldrich
588;Curtis Bernhardt
589;George Brent
590;Edmund Goulding
591;Joseph L. Mankiewicz
592;Jeff Goldblum
593;Geena Davis
594;Howard  Franklin
595;Hugh Grant
596;Sammi Davis
597;David Hemmings
598;Doris Day
599;Jean Marais
600;Josette Day
601;Jean Cocteau
602;Joel McCrea
603;Laraine Day
604;Ralph Richardson
605;Olivia De Havilland
606;William Wyler
607;Jay Underwood
608;Lucy Deakins
609;Nick Castle
610;Isabel Dean
611;Caspar Wrede
612;Frances Dee
613;John H. Auer
614;Danny Aiello
615;Ruby Dee
616;Andre Braugher
617;Larry Peerce
